message,author
Mccain is such a joke. #current,RyuPlasticTree
Wow McCain is saying that Obama is wrong.  Yet his example is counter to what he said two minutes ago #current,bluejack
Old Man McCain is upset because he isnt use to talking to intelligent men like Obama #current,myentirename
#current McCain is so smarmy. No he has NOT taken care of veterans.,paul4dirt
If McCain thinks Obama doesnt have the experience needed in a dangerous world whey did he pick Sarah Palin with even less fp exp #current,Shashwati
Mr. McCain knows the Veterans but Mr. Obama you are no Veteran. To bad McCain votes against veterans at every chance #current #debate08,EATerrell
#current McCain is trying to win on age. Hes talking about Obama as an idealistic teen.,cynmc
McCain 3 for calling Obama stubborn #tweetdebate,Barackbar
McCain has been vomiting diarrhea into my ears all night #current,CarriBugbee
FLexibility my ass.#current,aceoaces
#debate08 #current why does obama keep saying that mccain is right also why is mccain riding petraeus jock,akohler
Mccain how is that useful....quit standing on your surge.....and flexibility....  where your flexibility. diplomacy.. #debate08 #current,davidbdr
Old Songbird McCain will take care of Vets...HA!!! #current,kyeung808
I honestly dont believe that Sen. Obama has the experience or the knowledge...  Wow wow wow.  So true.  Thanks McCain #current,xmerer
Vote for McBush! #current,StevenWalling
#current #debate08,kdoohan
McCain is a war man. He will ONLY TAKE CARE OF THE WAR interests.#current,firegold21
LOL. If McCain takes care of veterans how come hes voting against veteran bills all the time #current,ReubenIngber
what about the GI bill u didnt vote for McCain...LIAR!! #current,shashib
McCain seems to keep falling back on saying Obama just doesnt get it.  Umm...He seems to get it to me.  #tweetdebate #debate08,c4chaos
McCains teeth keep whistling... #current,vagabondproject
McCain 3 calling Obama inflexible  Thats the pot calling the kettle black #tweetdebate,EATerrell
McCain 2 for yet another instance of a noun a verb and POW crutch  #tweetdebate,ceanders
1 mc cains Georgian bias on Georgian  Russia conflict. #tweetdebate,daveevans
3 I been there. I been there. I been there.McCain. #debatetweets #current,Bringo
McCain clubs baby seals.... seriously. #current,EndTheRoboCalls
rt @jupiejupe    #current Obama is only talking to the pop vote Mc is talking to the elect vote GAME OVER sadly,gwachob
Mc Cains gonna take care of the veterans  he had his chance the last 8 years! #current,namelessdame
McCain must be awfully tired   Hes been everywhere and done everything! #current,gofasterplease
Come on people say it with me McSame Old McSame Old #current,EndTheRoboCalls
Talk about clinging mindlessly to one stuck position...how about McCains insistence on staying in Iraq #current,pinknebulous
If experience is what weve had for the last 8 years Ill pass on it and take my chances.#current,alpha_park
Obama needs a new makeup artist...his concealer is the wrong color under his right eye #current,mabraham1
Mccain 1 getting tired stuttering #tweetdebate,vstraylight
McCain smirks like Bush #current,warrenss
Does voting against the GI bill count as taking care of veterans John #current,CarriBugbee
#current #debate08 I hate it when they talk over each other... catfight anyone,whyphilosophy
2 for Mcain saying hell take care of vets but voting against benefits for them. #tweetdebate,nlw
I want to fall asleep when you talk Mccain #current,EndTheRoboCalls
Why cooperate with the rest of the world when we can just enslave it. #current,littlesparrowp
#current babs is mad.,alpha_park
McCain you know veterans and will take care of them yet Veterans organizations consistently give you low ratings #current,jamesseay
mccain 7 for admitting that he has been involved in all major natl sec threats.  2 more for the new 9/11 aka georgia.  #tweetdebate,elpampurio
Johnny fix your dentures. Youre whistling. #current,christystorck
McCain doesnt believe that Obama has the experience  but he believes that Palin does #current #debate08,ewka
yeah...he (McCain) really cares about the veterans....thats why hes tried to help Walter Reed #current,freshpaint
Surge did not work. Iraq simply ran out of bomb making materials. #current,RyuPlasticTree
i still hate MaCains tie!! #current,RyanAdams
#current twennty some years of experience. or of sameoldsame old,mathewballard
Broken record McCain #current,marycanady
john mccain im afraid....to look people in the eye #current,rebot
#current yes yes McCain we all know that you are old.  Calling out judgement Seriously McCain,soapboxmom
#current  OMG McCain is smirking just like Bush does!,EndTheRoboCalls
#current #debate08  Ok lets make McCain the Secy of Vet Affairs... instead of President!!!!!,coffeemakergirl
If veterans know and love McCain like he says why the veteran protests during his GOP speech #current,KipEsquire
mccain keeps whistling! haha #current,paul4dirt
OBAMA WERE IN THE MIDDLE OF FINANCIAL COLLAPSE WAR ENERGY CRUNCH...NOT A TIME FOR ON THE JOB TRAINING #CURRENT,martin_kelley
@current So do we now stereotype people from other nations as enemies because they live in a certain country  #current,darrylohrt
Obama going back to his drunk father roots.  #current,greacen
1 McCain for the on the job training card #tweetdebate,FrancesFlynnTho
ive been involved in... virtually every major security challenge in the last 20 years... McCain just admit to being a terrorist #current,presto123
Im tired of your stories McCain #current,leonleaf
mcc is just harping on one or two things he seems desperate to me.  Hes not putting up anything new no new ideas just same old. #current,NTWhite
McCains tie is godawful. #current,Okie_Campaigns
This debate reminded me why Im an independent. Disheartening. #current,jbapowell
#current McCain needs to retire not take the hardest job on earth!,ParandimeX
McCain is such a lying sack about Veterans affairs. You will NOT support them or are you going to flip flop on that now #current,ceanders
Grandpa McCain is going to take care of America! #current,johndoe1211
Obama claims national healthcare is a national security issueliberal #current,kdoohan
McCain has an ugly tie #current,PIXELFLIP
WHEN is this going to end!  I thought it was 90 min!!!  #debate08 #current gaaaaaaah,mhorta
Obama Loses! Incompetence breads incompetence! Veterans What do you care antichrist #current,michaelparks11
Im outta here. I hope Bill Maher watched the debate. Remember Barack sucks at debating things especially because he is stoopid. #current,ParandimeX
who will take care of you mccain when youre in a nursing home in 2 years palin  #current #debate08,johnnycho
McCain is a veteran and Obama has a father from Kenya Dang. I didnt know that. Lets be more pedantic invoke apple pie #current #debate08,Heuristocrat
BOOO!  Stop trying to push the lack of experience BS McCain your VP has less experience than my mom does in dealing with people. #current,ahg3
Mccain is out of touch.  He is a broken record.  We need change NOW! #current,EndTheRoboCalls
You dont need any onthejob training You are 72! What if you DIE! Why Palin if you care about on the job training #current,israelpattison
I pretty much just feel depressed after this.  I wish this election could just get over with. #current,DangerGirl6
McCain will take care of the veterans like theyre little babies hell let them nurse from my wrinkly man boobs. #current,piyook
It aint a popularity matter ya dummy It is national security #current,gingercake
You dont need on the job training huh Like Palin who will likely become President because youre not gonna make it. #debate08 #current,cachea
McCain plays the war hero card again!  #current,sea_dot
horrible dis to Obama mccain #current,dbrowell
#current #tweetdebate Conches I have to agree.  Its sad,lnxwalt
#current Too much Alien vs. Predator. Whoever wins we all lose.,DonIrvine
I was wondering when he was going to pull the POW card... #current,ErinNorton
Wed have Al Qaeda taken care of by now if it hadnt been for Iraq and oil interests #debate08 #current,GuardianUS08
Is it good that Obama is talking about Dad  What next talking his Bro LOL #debate08 #current #debateok08 #mccainshot,EATerrell
McCain just dropped that ball after Obama was lucid about Iraq #current,nubianvixen
i was a p.o.w blah blah blah #current,kersting
@downsokc  we have $9 trillion debt.  A little too much eh  #debate08 #debateok08 #current,msblog
I hate to say it Obama lost this debate. Hes played too much defense and allowed McCain to on the offensive all night. #current,alexashrugged
there he goes again being a poor pitiful vet #current,martinbowling
There he goes the POW card he couldnt resist #debate08 #current,EndTheRoboCalls
then why vote against them McCain youd think a veteran would support vetrans!  but those in wheelchairs esp. suffer he does shit #current,msblog
there you go....I am a POW!! #current,alexashrugged
Here we go! POW story again! #current,AspiringVenus
Ask McCain about PAVE SPIKE  he shut down the search for MIA and POWs!  #current,EATerrell
1 pt for McCain. Keeps bringing up the veteran issue. Yes we know you love the veterans and we know youll take care of it! #tweetdebate,slsmith
#current YEAH! final comments from mccain reference coming home from prison. Everyone take a shot!!,johnmccrory
#current if McCain is so proveteran why didnt he vote for the new G.I. Bill,frijole
Now theyre having a blinking contest. #debate08 #current,DonIrvine
1 McCain for dredging up the POW stuff all he knows is war #tweetdebate,clarkjolley
I thought McCain was busy dumping his first wife after he returned from Vietnam. #current,andrew_herrick
oh here we go again..  blah blah blah.. violins and sappy music.. thanks danny tanner #current,israelpattison
Were the land of opportunity but we need the govt to take care of us Make up your mind. #current #debate08 #tweetdebate,UltraNurd
McCain sucks.#current,pamelalyn
POW MIA issue is not resolved until EVERYONE comes back! #tweetdebate 50 McCain,TheMacG33k
Both McCain and Obama are a joke! give me 30 min. and I can prove it lol. (this is to u Current! i luvs my current )  #current,robinelaine
Is it just me or is Current being antiMcCain and not showing those comments #current #debate08,pluggpro
#current all McCain talks about is war ... he is a war lover a war monger  he would be a president of war,MNCR
McCain managed to screw up this debate without any help from Palin.Isnt he sad about Bush screwing vets. #current #tweetdebate #debate08,rghanbari
when I came home from prison... Have we heard that one before #current,Mary Trigiani
#current McPain when I came home from prison...veterans...heal wounds of war... [thats all you need to know!],JohnMcCain2008
#current #debate08 #tweetdebate wow ... never mentions that PoW issue does he... good thing he was never tortured (* according to US),mortgageporter
wait. MCCAIN JUST ADMITTED TO BEING IN PRISON!!!! Whats the crime are you allowed to be president if youre a felon WOW. NEWS #current,lfamous
#current it doesnt matter thay are all going to do what it takes to get there pockets full,whitcopley
McCains veteran voting record is a disgrace. #current,KatieFavazza
I think McCain has had 4 strokes throughout this debate.  #tweetdebate,downsokc
NUUUUUUU sudden death!!! #current,EndTheRoboCalls
The bracelet/meeting a solders Mother were low ploys. Talk about what you are doing. Dont use the grieving Mom to make a point #current,RobertBluey
MCCain Vote for me b/c i got fucked up the ass by the viet cong for 5 yrs....#current #debate08,jeanniecw
And Sen. Obama finally drops the my father was from Kenya thats where I got my name line. #current,valerieinto
ARRRRRRGGGGGGGHHHHH!!!! McCain is talking about being a POW again. Wow! #current,frijole
rt @Tiak McCain you know veterans and will take care of them yet Vet orgs consistently give you low ratings #current about a minute ago,alexashrugged
Im not trying to be mean here or say their a problem but why is he constantly talking about verterans and not the public! #current,repmekevets
Cannot *wait* to see Palin in the VP debates. Its gonna be hilarious! #current,kilbuda
#current    McCain does remind be a bit of Reagan.  Im waiting for him to start talking about the Pacific Coast Highway.,infooverload
Obama ia a liar.#current,decaturcomp
Obama wont get any sleep tonight cause hell be up all night long licking his wounds. Start to prepare for the next one. #current #debate08,A_Kaplan
THIS WAS POINTLESS. #current,cadler
hmm... expected more of Obama #current,DDaniello
I KNEW that McCain couldnt go the entire debate without mentioning being a PoW! #current,RobertBluey
Oh and the US is incapable of diplomacy when it wont back down on any issue #debate08 #current,johnniemoore
Veterans including myself are continually being mistreated by an Administration you supported 90 of the time Senator McCain #current,decaturcomp
Say Whaaat  MCain fought to keep quiet the investigations of POWs he didnt try to find them #current,Cheavor
When I came home from prison probably wasnt the best choice of words. #current,DemCapeMayPoint
i knew hed end with POW talk...sigh;.. #current,garyware_619
McCain clubs baby seals.... seriously. #current #debate08,Laurie2
#current #debate08 #tweetdebate Overall crappy debate.  Obama needs to learn to punch harder and go direct for JMs throat.,quick13
#tweetdebate If Obama cant get his point in with McCain will he be assertive with foreign leaders,jeffbridges
some debate.  they both were duds.  #current #debate08,myloveforyou
the moderator sucked. #current,twibble
mccains a douchebag! #current #debate08,pnuw
Hallelujah! Its over! What do you say we all vote for McCain as Miss Congeniality!!! #tweetdebate,Dominick Evans
So I learned NOTHING NEW how about you#current,c4chaos
How appropriate McCain is most qualified because he was once a Prisoner. Of War.  Noun verb etc. #current,cyn3matic
john mccain does not care about black twitterers #current #debate08 #tweetdebate #mccainshot #obamashot,cuban_dudeca
It doesnt matter who won nothing got resolved tonight. #current,EndTheRoboCalls
#current nobody wins the debate.  everyone came away with the same opinion they came in with.,current
RT  Michael_Lehman    #current #debate08  Ok lets make McCain the Secy of Vet Affairs... instead of President!!!!,janoss
They make it sound like the government is responsible for everything research health care etc.  #current,lindagoin
see McCain snuck in the POW background! #current #debate08 #tweetdebate,praeburn
Did Sen. McCain talk of anything other than defense veterans and Sen. Obama this evening No economy education healthcare etc#current,KatieFavazza
Obama exits stage with staged fakeness....what a creep! #current #debate08,Sarah J
#cnn is more than 30 second delay on live #current more real time.,starweaver
McCain 3 for being so condescending yet not expounding details of his plans beyond I know #tweetdebate,Mary Trigiani
@lindagoin Not the smoothest transition.,internetgerbil
I will never agree with McCain on the war #tweetdebate,kellyrfeller
#current  McCain never looks at Obama... why is that/,lumatts
McCain voted against a bill that would cover the total cost of college for vets. He supports them #current,dksnyder
#current #debate08 Nice choreography of the crisscross and the wifehugs.  I hate politcs!,Charles Balazs
Still wouldnt look at Obama when they shook hands. Ass!  #current #debate08,AngryLeftie
#tweetdebate,etherkiller
Obama  outdebated... theres no room for gray/corrections in a debate #current,bklynace
No! McCain was a POW!!! I missed that somehow #current,PuppetMasterr
@kwilson9austin I live with a vet. No way in hell is he voting for McCain. #current #debate08 & you should hear him on Palin. Wowza,brooker22
Connor Live is a sick character yo! #current,mpesce
McCain in firesidechat closing statement. Weird. #current #debate08,IanWoolf
@stealingsand Father Geppetto is losing badly...!,kyeung808
Drink for every time he brings up when i came home from prison #current,miguerum
McCain is to Obama as the Empire State Building is to an ant. #current #debate08,jani_s
McCain clubs baby seals.... seriously. #current,jani_s
regardless of who won the debate tonight...we are the ones who lost #current #debate08,Wading4U
McCain wont even look Obama in they eye when shaking hands. Hes so dismissive. What an old bastard. #current,davidweiner
Obama cites fathers desire to come to USAbut he didnt stay #current,miguerum
Is it just me or was this REALLY depresing as far as how #*$@&d up the world is right now Sigh ... #current,Scott_Drummond
Last two points were nothing more than stump speeches by both candidates. #current,rueben26
#2019 #current when the economy of war didnt stop a recession but caused a depression.  good ol 08,agilminer
McCain 1 for overplaying veteran card one or two times too many #tweetdebate,kdpaine
all of that blinking has been shown to be the sign of a fibber John. #current,agibson
Yea pull out the sob story songbird McCain #current,damnneargenius
Obama is a liar. #current,davidweiner
This Obama guy is seriously gonna wreck this country if he wins.  SCARY. #current,PinkOliveFamily
Kneel before Zod. #current,themurmish
#current you can soo tell mccain doesnt f*ck his wife they dont even hold hands or anything XD,atompkins
McCain clubs baby seals.... seriously. #current #debate08,danramteke
@myentirename Yeah never mention your African father if you want to be president. #current,starweaver
Where are we going to get the money to pay for that obama#current,ipapyrus
Gee Cindy McCains suit looks pretty expensive. #Current #debate08 #tweetdebate,arpit
@laughterkey the vp debate is gonna be a joke #current,soapboxmom
oh but mcain isnt creepy that troll cant even touch his own head! #current,jrishel
disappointed in Jim Lehrer.  expected more from him. #current,ellekasey
McCain is scared of Obama. #Current #debate08 #tweetdebate,greacen
@kathrynjones hes racist #current,bobbykearan
#2019 #current what I wouldnt do to simply have to worry about a war and an economic depression. GEAS makes that look like the war on drugs,ch3ryl
I didnt really hear anything new in this debate. Hope future debates wont sound like political news pundit speak too. #current #debate08,johndoe1211
#tweetdebate McCain says hell take care of veterans. Just not if it includes a GI Bill. McCain knows how to heal wounds of war Not quite.,jupiejupe
#current I am worried on the whole with both of our choices,vysa10
#tweetdebate Mccain lost he sucks hope he does not become President,kersting
@MediaLizzy mccain also knows how to create wounds of war by advocating so much war and deploying troops unnecessarily #debate #current,jwa1970
You know McCain should just stand there and sing Mr. Self Destruct by NIN. #current,JohnnyNormal510
#current and now the anchors and pundits tell us what we should think,fountaingoats
John you voted against the Webb bill to pay for college education for veterans. #current,greacen
.i am on my knees praying for a stray bullet in johnnys direction...but no brave souls seem apt on playing gd this evening. #current,tatujae
The number one problem is that there is too much emphasis on retarded communication tech instead of things that matter. #current,akohler
McCains wife has had some good work donebut man has she had *a lot* of it. #debate08,raausar
#debate08 #current did someone really just ask if mccain is a felon.  He was in pow camp you idiot,christophe971
#debate08 Oh manwhy is CSPAN2 covering the spin room crapthis is exactly what I HATE about mainstream news.,MNHeadhunter
If we want real change in DC vote out all Congresmen and Senators that have been in office over 12 years.  #current,DarnellClayton
@DominickEvans I have fears that you are right... that it runs so much deeper than any american admits,ErinNorton
#debate08 Body language was a big issue for me. In a contentious meeting would McCain ignore his adversary in the room,auilix
Chuck Todd Both candidates were totally tone deaf about the economy #debate08,Marti_L
The Character Assassination of Barack Obama by the Coward John McCain http//bit.ly/2ZHw59 #debate08 #current,Flap
Retweet @stevenbjohnson #debate08 making a point that depends on the difference between tactics & strategies is always a bad tactic...,snachodog
#debate08 mccain can barely walk if he dies miss tabloid queen will be the president... nice move US,RobertBluey
Retweet kctrey Still wouldnt look at Obama when they shook hands. Ass! #current #debate08,vanhoosear
@rcapote from the big tax cuts being given to the top 0.1 of the americans ;) Easy! http//mccainfacts.jottit.com/ #debate08 #current,kevcowiffle
#debate08 Sadly I think Obama missed the point  this election is going to be more about connecting with the average than about leadership,michaelszeto
This is not a time for on the job training. #current,CovertRadioShow
#current Bob Barr Team Clearly tonightÍ¢_•À_•À__•À_•À_s debate shows both McCain/Obama mean more spending/more government/ever present risks to taxpayers,renpatel
Cant wait to watch the VP debate. I wonder if Palin will wear a diaper. Shes liable to wet her pants  #debate08,starweaver
@bessemerprocess #debate08  mccain was disrespectful  Obama kept calling mccain john and not senator.  THATs disrespectful,CarriBugbee
#debate08 Well that was uneventful guess we will have to wait for tomorrow at UMW,abbyalger
Cindy McCain is GLOWING RED.  In a burn my eyes way. #debate08,alexashrugged
I came into debate not wanting to vote for either.  I leave in the same state of mind. #current,hc
@mamalogues you think mccain won #debate08 none of the many experts on CNN agrees with you. sorry...! #current,EndTheRoboCalls
#current can we remove 10000 votes from McCain/Palin every time one of them utters maverick,VizionQuest
#debate08 Im hoping the spin coverage points out how condescending McCain was towards Obama that was frustrating.,vanhoosear
wow Biden is talking but they wont let Palin Why not Sexist #tweetdebate,richmerritt
#tweetdebate how can you have a spending freeze.  Thats ridiculous.,valerieinto
POW and he was no hero he was just like thousands of others. Maybe if he ever kept his planes in the air....  #debate08,maxl0rd
Im out of this shit. #current #debate08,CurlingRiver
CBS observer compares McCain to Nixon. Yikes. #debate08,A_Kaplan
McCain came off very rude. If McCain acts this way in office with his smirking and disdain he will be no help to Americas image. #current,niathena
Biden and Rudy... Why are they hiding Palin still #current,lindagoin
mccain is weak on the economy better @ warmongering & apparently is afraid of direct eye contact #tweetdebate,douglasbass
seems to me like Obama kind of fell apart there at the end. #current,RobertBluey
#current #debate08 Okay that seriously stressed me out.,dynobuoy
Obamarossas dress looks like puke #current,jonmierow
where the hell were the environmental issues (besides energy) #current,disavian
Body Language of McCain = Idiot.  #debate08,GtheGreat
#debate08  Obama supports missle defense but not ones that dont work.  Uh  you fund programs until they do work...,michaelcanfield
#current mccain or mcblinky,randyaa
#debate08 Re McCains comment about short North Koreans Those in glass houses shouldnt throw stones. (McCain is 57.),orbitaldiamonds
Obama didnt emphasize so many differences as he did agree with McCains points. But both avoided the economic questions. #debate08 #current,frijole
#debate08 wow. Obama Camp Mgr Thinks Barry Commanded the Foreign Policy debate. Laughing so hard my sides hurt.,TDefren
Not sure where McCain goes from here.  Hes lost the week the day and then the debate.  #debate08 #mccain #obama,davidweiner
#debate08  Tie goes to [front]runner Obama. JM needs to step up policy distinctions; BO needs to be funnier more zingers,danstuart
Sooo... McCain is not afraid to meet with ANY world leader. However he just proved will not be able to look them in the eye. #debate08,shashib
Tonites big soundbite  I agree with Senator McCain from Obama ... that cant play well #debate08,miguerum
#current Who won Not us.,current
New offshore drilling wont give us any oil for years.  Its a silly idea. #Current #debate08 #tweetdebate,orbitaldiamonds
Free Press site is slow so go directly to http//bit.ly/scorecard to Rate the Debate #current #debate08,barbaranixon
#current Kissinger backs talks with Iran with no conditions YIKES!! FAIL!!!! http//tinyurl.com/5pabty,Stephen Santino
why am i not suprised that mccain brought up his prison time we know youre a war hero john. we get it. #current,ralphpoole
so what was the best line of the night  thoughts  i think this debate lacked any umph #debate08,Stephen Santino
Will the frequent Obama McCain is right lines will haunt him later Someone should remind him he cant get consensus in #debate08.,sak957
Doesnt anyone remember when McCain went to Iraq and made a fool out of himself  #current,Gina Minks
I tell ya what. Ill need a drink tonight after these debates. Please get Obama/Biden into office no McCain/Palin #debate08,davidweiner
Candidates+spouses on stage now Cindy I stole drugs from my charity and got off scotfree McCain included. http//xrl.us/osao6 #debate08,chelpixie
Time for the talking heads! #debate08,kdpaine
Eugene Robinson is right. Pointing out that youve been there forever during all the crisis is not a winning point. #debate08,tmeyeratwork
How the hell can anyone consider McCain the debate winner  #debate08,Cathleen Rittereiser
... and now we go to Spin Alley. Or as I call it Deception Lane. Changing the channel now. #debate08,warrenss
@divesnob McCain only blinks so much because he is trying to send subliminal messages to his followers #current #tweetdebate,bevbarnett
*Sigh* I miss Peter Jennings ... There is a real void tonight. #debate08 #tweetdebate,smenzer
@kellyrenee says POW and he was no hero he was just like thousands of others. Maybe if he ever kept his planes in the air.... #debate08,Cathleen Rittereiser
@theebayk1d disrespecting traditions during the pledge and National Anthem.,Scott_Drummond
@smheadhunter like the iraq war  like the failing banks  I can see what you mean now. #debate08,cmarlow480
I dont really care who you think won if youve already chosen. Of course you think *your* guy won. Any undecided voters swayed #debate08,themurmish
This debate was completely surreal in the context of the current economic crisis.  #current,Snakeyes1123
#debate08 Why does McCain freakin say What Senator Obama doesnt understand is before EVERY response. wtf what a jacka$$.,snooks56
@scbalazs What do you mean Obama was able to keep up McCain was nervous stiff and wouldnt look at Obama at all #debate08,damnneargenius
William Bennet on CNN How many times did Obama say John is right... Thats a great point. Obama conceding to McCain. #debate08,Laurie Bloom
meh.  disappointed with both obama and mccain tonight. #current,orbitaldiamonds
mccain obama is stubborn like bush! what #debate08,CarriBugbee
I did think the twitter make the debate more interesting #current #debate08 #tweetdebate,tonei
And *holy crap* Im getting tired of McCains Sen. Obama doesnt understand followed with emotional appeal to US exceptionalism #debate08,KarenWalkerx
#current Offshore drilling is a bridge  an expensive bridge,themurmish
@glueandglitter Yep Obama pushed offshore drilling nuclear and clean coal. FAIL #current #tweetdebate,betancourtc
...as of late has not shown a very high level of judgement or respect  of anything or anyone. #debate08,damnneargenius
http//snipr.com/3vlts  Big surprise McCain makes misleading statements about Obama #current,Doyle Albee
#debate08 OK muting CSPAN2 since they insist on showing spin doctors speaking. Just cut to callers or @Leslieann44,cgritter
I think all this hate for McCain is simply coming from fucking ignorance. All the hating bastards need to step back and review. #debate08,RobSample
#debate08 WHAT! The GOP doesnt send Palin to answer after McCain but Guiliani Is he the VP now,Sarah
Anyone who thinks McCain won the #debate08 is a total dweeb dingle cheese.  (he says like a true dorkus),nericksx
Guiliani is a twit #current,lindagoin
#debate08 FTW T. Boone Pickens again  The hell,gminks
WOW. Biden spoke with NBC Palin declined and the GOP gave them Rudy instead. What a fucking tool. #current,aagha
#debate08 oh god here comes Giuliani,danramteke
lol @martinbowling I was thinking morse code #tweetdebate,damnneargenius
Retweeting @alexashrugged I agree with Sen. McCain should be the line of the night #debate08 #current,NTWhite
Palin declined the invite to discuss the debate  What is she busy monitoring her Russian neighbors  #current,starsinjenseyes
#debate08 Deja Vu 2004. Kerry supporters were jumping in haste even after a poor performance by Kerry. 2008 same old with Obama!,FrancesFlynnTho
Both candidates point blank said they would commit war crimes and break international law. God bless America. #debate08,damnneargenius
noticing many misquotes from #debate on #current #twitter,abbashaiderali
OWho Camp had lowered expectations to allow them to be happy with such a performance.  #debate08,RobSample
#debate08 wtf giuliani in lieu of palin Is this a test run for a vp candidate replacement,Brennn
#debate08 Palin/Biden is on a Thursday  Gimme a break Thursday is the new Friday.  No one is gonna watch those 2 on a Thursday night.,netdoc66
Oooo the (R)s sent Giuliani to talk to NBC instead of Palin!!! Thats embarassing. #current,DominickEvans
@FakeObama08 Matt is out....but I heard Chevy Chase wants Palin anihilated! (SP)  Yeah.....who  Oh...the dude that played Fletch.,themurmish
I wish Guiliani would just shut the hell up. #debate08,woodworking
#debate08 NBC has Guiliani on.  OMG. maybe its clint Howard. cant tell. How can they say anything when McCain picked Palin  a joke,realspacegoat
Retweeting @mississippianna disappointed that we did not hear from the candidates on how they will end the genocide in Darfur #debate08,NewsHour
#debate08 #current  Major Garrett  Obama campaign feels they won the debate.  Must have been watching a different program,gabemcg
@ch3ryl Because its CNN for pitys sake. Asking them to be objective is like asking Amy Winehouse not to smoke crack.,ianben
McCain called for a spending freeze Hillary called for a trade timeout. Both ridiculous ideas. Both will lose. #tweetdebate #obamashot,my_skin_burns
#debate08  so what happened to Palin and why isnt she on instead of Juliani oh right...,chuck006
Its official! Were sunk. #debate08,mercat99
Heres some tolerance from the Left. Note the username and the ONLY person theyre following. How adult. http//twitpic.com/ddr4  #debate08,ehwood
So does anyone else feel like they didnt discuss the economy as much as they should have #debate08,dslunceford
#debate08 honest question for McCainiacs  whats the thinking on Palin being nowhere near a live camera right now,yoBro123
Wheres palin Getting drunk in Philly. #current,awcmon
starting to get annoying that the GOP is hiding Palin #debate08,Hourglass1
#debate08 is it just me or was McCain awful tonight,jtapjtapjtap
Brian Williams cant believe Rudy is saying this stuff with a straight face. #debate08,EndTheRoboCalls
@evolver That really bums me out.  The clean coal more than any of that other stuff.  frackity,ObamaNews
So did anyone else notice that McCain didnt look directly at Obama while addressing him for the most part #current #debate08,dj_diva
thinks the crawl on FOX news is so slanted its despicable.  #tweetdebate,saabnet
Has Palin said anything unscripted on live television yet  #current,super_genius
#debate08 McCain at times comes off as a competent Senator but _never_ presidential.,nealmims
#tweetdebate Wait a minute. NBC invited Palin to respond about the debate and she declined Minus 500 points to McCain for picking a coward.,leyink
Palin is with her neighbors Russia #current,megkroeplin
#debate08 Major Garrett Obama campaign feels they won the debate. what debate were they watching,Flap
Where is Palin Looks bad to put Giuliani up because you cant find your VP nom. #debate08,laughterkey
#debate08 Chris Matthews says McCain was mean.,fdask
@kassifan What do you expect All McCain has is lies. The truth wont get him elected.,CarriBugbee
When I was a POW... Oh really John! I had no idea... #current,jimprosser
wonder why GOP hates a democratic president agreeing with their senator  #debate08 #mccain #obama,kpedraja
Let the spin begin #debate08,CathleenRitt
#current Guilllianni I expect by the weekend well have a solution for dealing w/ financial fallout. [Isnt it the weekend now],techcommdood
As an aside Obama missed yet another opportunity to close the deal tonight (NH TX PA vs HRC tonight vs McCain) #current,jasoncarini
#debate08 It seems like every election Conservatives talk about decreasing spending. Does that mean we can decrease military spending,catonpot
#current #debate08  Pickens Plan has a few billion yet cant keep a strong web server Come on Boone...,whatsthepoint
McCain in a tailspin.  #debate08 #mccain #obama,keithdsouza
@CarriBugbee are you kidding if you watch the nightly news you should know those things. #current,ellekasey
@perinandy Palin hasnt had a single unscripted moment yet I cant wait to see her eaten alive on the VP debate #current #tweetdebate,Ricky84
@MercuryMetro #current yeah the Wife and I were both commenting on that. Its cause hes an ass.,NTWhite
@theebayk1d I find it very disrespectful when one doesnt either salute the flag or put their hand on their hear when the Anthem is played.,votenader
if theres any one I hate more than McCain its Guliani #debate08,Shashwati
My kids they sure were both rude to each other. #debate08,damnneargenius
NBC in the tank why would the McCain camp give em air.. no way #debate08 good for Palin,EndTheRoboCalls
#debate08 if we get McC for prez all our $$$ will go to the mideast and the us will fall into 1000 inflation,Flap
#debate08 I guess Palin has been locked in a room until next week. Shes gotta a lot of work to do with Professor Higgins.,AdamHouston
#debate08 obama is pro missile defense WTF,andreaball
@perinandy she cant speak without having a script; this is why they try to hide her as much as they can. #current,CarriBugbee
#debate08 McCain sounded like a rambleing Grandpa Simpson.  Lehrer is a crappy moderator.,cgritter
I heard that Biden is too polite and will fare badly vis a vis Palin. #current,Rosario
How can McCain say Obama is not experienced enough when Miss Congeniality is his running mate #debate08,frijole
#debate08 Every expert/commentator has said exactly what they as a partisan have been saying. Their guy was good. The other was off his game,kwilson9austin
@Mamalogues #debate08 #current i know it must be hard for you that mccain sucks so badly. again...sorry. try voting for obama!,NewsHour
@NewsHour Thought Lehrers questions were too general/not pointed enough e.g. What about Iran What about Russia etc. #debate08,eqnX140
so earmarks are ok then what kind of logic is that #debate08,pinoyboy
Biden will never lose to a fluff ball public speaker like Palin. #current,EndTheRoboCalls
Retweeting my fav Tweet of #debate08 McLame heart attack = President Palin. Debate over.,GlobalLeader
thinks that McCain does not understand the difference between a tactic and a strategy.  #debate08,CIRAME
@MaryTrigiani I didnt think McCain was a gentleman one time. Impartially I truly believe that. You,diablogue_chat
@bender00 you should be contributing to #tweetdebate,EATerrell
#debate08 I missed it. Did McCain look and feel constipated again,EndTheRoboCalls
